Country;H;A;I;SMP;VMP;HC;EC;LSC;NPL;PPP3
Afghanistan;64.9;55.5;0.02;39.1;19.9;24.1;42.5;33.4;54.5;
Algeria;1.4;39.2;0.007;0.2;3.6;31.2;49.3;19.5;;
Argentina;0.4;34;;0;1.6;69.7;21.4;8.9;41.7;1.2
Azerbaijan;0.2;37.2;;0;1.4;39.9;41.9;18.3;;
Bangladesh;14.9;44.5;0.009;3.9;24.9;29.1;37.7;33.2;18.7;8
Benin;55.9;51.8;0.021;30.8;17.8;18.9;38.8;42.3;38.5;27.2
Bhutan;9.8;39.4;0.008;1.6;8.3;65.4;17.5;17.1;12.4;0
Bolivia (Plurinational State of);5.8;39.6;0.006;0.7;10.5;16.8;38.2;45;37.7;2.8
Burkina Faso;64.5;53.2;0.022;38.3;15.8;19.6;39.2;41.1;43.2;42.1
Cambodia;16.6;42.3;0.009;4.1;20.5;21.5;48;30.5;;
Central African Republic;80.4;57.4;0.025;55.8;12.9;20.2;27.8;52;68.8;71.6
Chad;84.2;61.4;0.024;64.6;10.7;19.1;36.6;44.3;44.8;39.5
Comoros;19.2;43.9;0.013;5.7;19.4;22.7;34.4;42.9;44.8;31.4
C矌e d'Ivoire;42.8;49.1;0.018;19.7;19.6;21.3;42.1;36.6;37.5;20.9
Cuba;0.7;38.1;;0.1;2.7;10.1;39.8;50.1;;
Dominican Republic;2.3;38.8;0.006;0.2;4.8;14.6;46.2;39.2;23;1.3
Eswatini (Kingdom of);7.9;41.3;0.008;1.3;19;31.1;28.6;40.3;58.9;44.5
Ethiopia;68.7;53.3;0.022;41.9;18.4;14;31.5;54.5;23.5;38.6
Fiji;1.5;38.1;;0.2;7.4;38;17.4;44.6;24.1;4.7
Gabon;8.6;42.4;0.01;2.3;14.9;34.6;24.4;41;33.4;3.8
Gambia;41.7;47.5;0.016;17.3;28;32.7;33;34.3;53.4;22
Ghana;24.8;45.5;0.016;8.4;20;25.1;28.9;46;23.4;39
Guinea-Bissau;64.4;52.9;0.021;35.9;20;19.1;35;45.8;50.5;39.9
Guyana;1.8;39.3;0.007;0.2;6.5;30.4;22.4;47.2;;
Honduras;12;42.7;0.011;3;14.8;18.8;39.2;42;64.1;17
India;16.4;42;0.01;4.2;18.7;32.2;28.2;39.7;;5.3
Jordan;0.8;35.3;;0.1;1.2;32.1;64.8;3.1;15.7;
Kenya;25.4;44.7;0.015;7.5;26.4;25.6;15.6;58.8;38.6;46.4
Kiribati;19.8;40.5;0.006;3.5;30.2;30.3;12.1;57.6;21.9;6.1
Kyrgyzstan;1;35.2;;0;5.1;49.9;22.4;27.7;33.3;4.5
Lao People's Democratic Republic;17.8;46.3;0.014;6.5;25.3;20.8;44.8;34.4;18.3;15.7
Lesotho;25;42.4;0.009;6.1;20.6;26.9;17.3;55.8;49.7;41.9
Liberia;52.3;49.6;0.018;24.9;23.3;19.7;28.6;51.7;50.9;33.6
Madagascar;68.4;56.4;0.026;45.8;15.4;17.8;31.6;50.6;;
Malawi;49.9;46.3;0.012;17.5;27.5;18.6;25.5;55.9;50.7;75.4
Mauritania;58.4;56;0.024;38;12.3;17.7;42.4;39.9;31.8;10.2
Mexico;5.3;37.7;0.006;0.7;1.5;78.7;8.7;12.5;36.3;2.3
Mozambique;60.7;55.1;0.022;38.8;16.9;17.3;33.2;49.5;62.8;82.2
Nauru;6.8;39.8;;1.7;14.6;60;32.7;7.2;;
Nepal;20.1;42.5;0.011;5.5;20.2;28.8;30.6;40.6;20.3;2.4
Niger;79.9;58.9;0.029;55.9;10.3;12.2;40.2;47.6;45.5;60.5
Nigeria;33;52.9;0.027;18.1;16.6;19.5;35.5;45;40.1;34.2
North Macedonia;0.4;38.2;;0.1;2.2;29.6;52.6;17.8;21.8;3.9
Palestine, State of;0.6;35;;0;1.3;62.9;31;6.1;29.2;2.1
Peru;5.6;38.9;0.006;0.8;9.9;16.4;30.9;52.7;27.5;5.9
Philippines;3.9;40.6;0.008;0.7;5.2;24.6;32.7;42.7;15.5;5.3
Rwanda;48.8;47.3;0.014;19.7;22.7;19;26.6;54.4;38.2;63.8
Samoa;6.3;39.1;0.003;0.5;12.9;36.9;31.2;31.9;21.9;4.5
Sao Tome and Principe;11.7;40.9;0.007;2.1;17;18.7;36.6;44.6;55.5;13
Senegal;45.1;50.2;0.018;22.7;20.2;24.7;46.2;29.2;;17.9
Serbia;0.1;38.1;;0;2.1;30.9;40.1;29;20;2
Seychelles;0.9;34.2;;0;0.4;66.8;32.1;1.1;25.3;0.7
Sierra Leone;59.2;49.5;0.019;28;21.3;23;24.1;53;56.8;41.5
Tanzania (United Republic of);47.2;46.9;0.014;18.3;23.1;24.2;22.6;53.2;26.4;51.3
Thailand;0.5;37;0.003;0;4.7;31.2;54;14.7;5.4;0
Tonga;0.9;38.1;;0;6.4;38.2;40.7;21.1;20.6;0.4
Trinidad and Tobago;0.5;38.8;;0.1;0.8;64.2;23.7;12.1;;
Tunisia;1;35.2;;0;2.8;28.1;61.8;10.1;16.6;0.7
Turkmenistan;0.2;34;;0;0.3;82.4;15.5;2.1;;
Tuvalu;2.1;38.2;0.002;0;12.2;36.5;43.6;20;;
Uzbekistan;1.7;35.3;0.001;0;0.2;94.5;0;5.5;11;4.1
Vanuatu;27.8;42.1;0.009;5.9;26.5;20.9;22.9;56.2;15.9;19.5
Viet Nam;1.9;40.3;0.01;0.4;3.5;22.9;40.7;36.4;4.3;1.6
Yemen;37.4;50.2;0.019;17;22.5;28.4;31.7;39.9;48.6;33.3
Zimbabwe;25.8;42.6;0.009;6.8;26.3;23.6;17.3;59.2;38.3;49.2
Albania;0.7;39.1;;0.1;5;28.3;55.1;16.7;22;0.3
Angola;51.1;55.3;0.024;32.5;15.5;21.2;32.1;46.8;32.3;39.3
Armenia;0.2;36.2;;0;2.8;33.1;36.8;30.1;24.8;1.9
Belize;4.3;39.8;0.007;0.6;8.4;39.5;20.9;39.6;;1
Botswana;17.2;42.2;0.008;3.5;19.7;30.3;16.5;53.2;16.1;21.4
Brazil;3.8;42.5;0.008;0.9;6.2;49.8;22.9;27.3;;3.8
Burundi;75.1;54.4;0.022;46.1;15.8;23.8;27.2;49;51;74.2
Cameroon;43.6;53.2;0.026;24.6;17.6;25.2;27.6;47.1;37.5;26.7
China;3.9;41.4;0.005;0.3;17.4;35.2;39.2;25.6;0;0
Colombia;4.8;40.6;0.009;0.8;6.2;12;39.5;48.5;33;7.7
Congo;24.3;46;0.013;9.4;21.3;23.4;20.2;56.4;;
Congo (Democratic Republic of the);64.5;51.3;0.02;36.8;17.4;23.1;19.9;57;56.2;85.3
Costa Rica;0.5;37.1;;0;2.4;40.5;41;18.5;24.4;1.3
Ecuador;2.1;38;0.004;0.1;5.9;33.9;27.3;38.8;26;4.7
Egypt;5.2;37.6;0.004;0.6;6.1;40;53.1;6.9;29.7;1.4
El Salvador;7.9;41.3;0.009;1.7;9.9;15.5;43.4;41.1;26.6;4.6
Georgia;0.3;36.6;;0;2.1;47.1;23.8;29.1;11.8;5.8
Guatemala;28.9;46.2;0.013;11.2;21.1;26.3;35;38.7;56;9.7
Guinea;66.2;56.4;0.025;43.5;16.4;21.4;38.4;40.3;43.7;11.7
Haiti;41.3;48.4;0.019;18.5;21.8;18.5;24.6;57;;
Indonesia;3.6;38.7;0.006;0.4;4.7;34.7;26.8;38.5;9;5.4
Iraq;8.6;37.9;0.005;1.3;5.2;33.1;60.9;6;;0.5
Jamaica;2.8;38.9;0.005;0.2;5;52.2;20.9;26.9;16.7;1.4
Kazakhstan;0.5;35.6;;0;1.8;90.4;3.1;6.4;5.2;0
Libya;2;37.1;0.003;0.1;11.4;39;48.6;12.4;;
Maldives;0.8;34.4;;0;4.8;80.7;15.1;4.2;5.4;0
Mali;68.3;55;0.022;44.7;15.3;19.6;41.2;39.3;44.6;36.1
Mongolia;7.3;38.8;0.004;0.8;15.5;21.1;26.8;52.1;27.1;0.4
Montenegro;1.2;39.6;;0.1;2.9;58.5;22.3;19.2;20.3;2.5
Morocco;6.4;42;0.012;1.4;10.9;24.4;46.8;28.8;3.9;3.7
Myanmar;38.3;45.9;0.015;13.8;21.9;18.5;32.3;49.2;24.8;10.3
Namibia;40.9;45.2;0.013;13.1;19.2;31.6;13.9;54.4;17.4;22.9
Pakistan;38.3;51.7;0.023;21.5;12.9;27.6;41.3;31.1;21.9;16.5
Papua New Guinea;56.6;46.5;0.016;25.8;25.3;4.6;30.1;65.3;;
Paraguay;4.5;41.9;0.013;1;7.2;14.3;38.9;46.8;24.7;2.6
South Africa;6.3;39.8;0.005;0.9;12.2;39.5;13.1;47.4;55.5;31.2
Sri Lanka;2.9;38.3;0.004;0.3;14.3;32.5;24.4;43;14.3;2.7
Sudan;52.3;53.4;0.023;30.9;17.7;21.1;29.2;49.8;;10.1
Suriname;2.9;39.4;0.007;0.4;4;20.4;43.8;35.8;;2.2
Tajikistan;7.4;39;0.004;0.7;20.1;47.8;26.5;25.8;20.4;13.3
Timor-Leste;48.3;45.9;0.014;17.4;26.8;29.3;23.1;47.6;41.8;44.2
Togo;37.6;47.8;0.016;15.2;23.8;20.9;28.1;50.9;45.5;34.7
Uganda;57.2;49.2;0.017;25.7;23.6;24;21.6;54.5;20.3;59.8
Zambia;47.9;48.4;0.015;21;23.9;21.5;25;53.5;60;71.7
